,rates
AED,3.956028
AFN,93.454497
ALL,109.456237
AMD,413.737493
ANG,1.93154
AOA,634.952643
ARS,258.697461
AUD,1.627222
AWG,1.941407
AZN,1.832992
BAM,1.957378
BBD,2.163834
BDT,114.972718
BGN,1.956702
BHD,0.406065
BIF,3024.510983
BMD,1.077064
BND,1.448455
BOB,7.40611
BRL,5.401152
BSD,1.071784
BTC,3.9722568e-05
BTN,88.349068
BWP,14.782784
BYN,2.705232
BYR,21110.446148
BZD,2.160232
CAD,1.445193
CDF,2511.712744
CHF,0.973719
CLF,0.031411
CLP,866.712009
CNY,7.619362
COP,4729.386175
CRC,578.171624
CUC,1.077064
CUP,28.542185
CVE,110.361048
CZK,23.686027
DJF,190.814135
DKK,7.449122
DOP,58.567775
DZD,146.846523
EGP,33.279542
ERN,16.155954
ETB,58.529944
EUR,1.0
FJD,2.408524
FKP,0.859206
GBP,0.859465
GEL,2.805764
GGP,0.859206
GHS,12.083969
GIP,0.859206
GMD,64.160999
GNF,9212.172403
GTQ,8.391845
GYD,226.677009
HKD,8.438335
HNL,26.348493
HRK,7.479496
HTG,149.51057
HUF,370.983443
IDR,15980.661588
ILS,4.032876
IMP,0.859206
INR,88.681649
IQD,1403.958268
IRR,45559.789511
ISK,149.916716
JEP,0.859206
JMD,165.678994
JOD,0.764606
JPY,149.627287
KES,149.392405
KGS,94.336549
KHR,4416.561659
KMF,496.903642
KPW,969.315719
KRW,1406.294962
KWD,0.331294
KYD,0.893137
KZT,480.95679
LAK,19258.888611
LBP,16087.071857
LKR,316.18085
LRD,182.158351
LSL,21.228676
LTL,3.180289
LVL,0.651505
LYD,5.17691
MAD,10.903796
MDL,19.025696
MGA,4712.756764
MKD,61.669732
MMK,2250.656795
MNT,3743.320261
MOP,8.646333
MRO,384.511512
MUR,49.551097
MVR,16.479643
MWK,1100.076924
MXN,18.910224
MYR,4.940507
MZN,68.124114
NAD,21.239864
NGN,496.795296
NIO,39.201613
NOK,11.845481
NPR,141.354368
NZD,1.765167
OMR,0.414707
PAB,1.071774
PEN,3.937112
PGK,3.852071
PHP,60.199769
PKR,305.767181
PLN,4.51378
PYG,7794.888006
QAR,3.921564
RON,4.964291
RSD,117.254492
RUB,87.129051
RWF,1209.875683
SAR,4.040025
SBD,8.976427
SCR,14.496806
SDG,647.315469
SEK,11.579478
SGD,1.448817
SHP,1.310517
SLE,24.331618
SLL,21272.005965
SOS,612.309479
SRD,40.743135
STD,22293.041503
SVC,9.377737
SYP,2706.068518
SZL,21.198095
THB,37.255284
TJS,11.708742
TMT,3.769723
TND,3.328935
TOP,2.555171
TRY,22.488705
TTD,7.253985
TWD,33.009304
TZS,2549.409744
UAH,39.582653
UGX,4020.316767
USD,1.077064
UYU,41.533494
UZS,12227.860944
VEF,2820118.542893
VES,28.144961
VND,25291.606962
VUV,130.397023
WST,2.94909
XAF,656.486412
XAG,0.045041
XAU,0.000545
XCD,2.910818
XDR,0.804842
XOF,656.452863
XPF,120.840107
YER,269.643061
ZAR,21.061117
ZMK,9694.866782
ZMW,20.924806
ZWL,346.814033
